tweets,features,sentiment
"RT @PIB_India: Union Minister @sureshpprabhu launches the Mobile App – Niryat Mitra, in New Delhi. The app serves as an information reposit…","['rt', 'union', 'minister', 'launches', 'mobile', 'app', 'niryat', 'mitra', 'delhi', 'app', 'serves', 'information']",neutral
"MCCIA has organized a Half-day #Seminar on #Import and #Export procedure under #GST on August 17, 2018 from 2:30 pm… https://t.co/R97RwghbhQ","['mccia', 'organized', 'seminar', 'import', 'export', 'procedure', 'gst', 'august']",positive
"RT @PIB_India: Union Minister @sureshpprabhu launches the Mobile App – Niryat Mitra, in New Delhi. The app serves as an information reposit…","['rt', 'union', 'minister', 'launches', 'mobile', 'app', 'niryat', 'mitra', 'delhi', 'app', 'serves', 'information']",neutral
"RT @PIB_India: Union Minister @sureshpprabhu launches the Mobile App – Niryat Mitra, in New Delhi. The app serves as an information reposit…","['rt', 'union', 'minister', 'launches', 'mobile', 'app', 'niryat', 'mitra', 'delhi', 'app', 'serves', 'information']",neutral
"RT @PIB_India: Union Minister @sureshpprabhu launches the Mobile App – Niryat Mitra, in New Delhi. The app serves as an information reposit…","['rt', 'union', 'minister', 'launches', 'mobile', 'app', 'niryat', 'mitra', 'delhi', 'app', 'serves', 'information']",neutral
"Union Minister sureshpprabhu launches the Mobile App – Niryat Mitra, in New Delhi. The app serves as an information… https://t.co/iZvdtSpqMk","['union', 'minister', 'sureshpprabhu', 'launches', 'mobile', 'app', 'niryat', 'mitra', 'delhi', 'app', 'serves']",neutral
"Do you know the effects of #GST on real estate? Good or bad: find out here

https://t.co/W77BEJ6mHe

#realestate… https://t.co/T2vF8If4hV","['effects', 'gst', 'real', 'estate']",negative
"Union Minister @sureshpprabhu launches the Mobile App – Niryat Mitra, in New Delhi. The app serves as an informatio… https://t.co/b0RD9Hh3kB","['union', 'minister', 'launches', 'mobile', 'app', 'niryat', 'mitra', 'delhi', 'app', 'serves']",neutral
"RT @fmtoday: RM18 bil in GST refunds missing, says finance minister @guanenglim #GST #DewanRakyat #MalaysiaBaharu https://t.co/eu3141hqGQ","['rt', 'rm18', 'bil', 'gst', 'refunds', 'missing', 'finance', 'minister', 'gst', 'dewanrakyat', 'malaysiabaharu']",neutral
RT @CAPChhajed: #MCA Notifies eForm DIR-3 KYC. #KYC is required to be updated for every individual holding DIN. Hurry. 31st August 2018 is…,"['rt', 'mca', 'notifies', 'eform', 'kyc', 'kyc', 'required', 'updated', 'individual', 'holding', 'din', 'hurry', 'august']",neutral
"RT @MissDelhi_: Anti profiteering body turns heat on e-tailers

Audit of all e-commerce firms sought🙌 #GST #GSTCouncilMeet #gstfornewindia…","['rt', 'anti', 'profiteering', 'body', 'heat', 'audit', 'firms', 'gst', 'gstcouncilmeet']",neutral
RT @SurabhiUpadhyay: For me this was the interview of the day - do check out if you haven't already. Mr Dasri is SO BULLISH! Says CV growth…,"['rt', 'interview', 'day', 'check', 'dasri', 'cv']",neutral
