,time,tweets
0,2018-07-23 16:16:14,Gujarat s economic growth impressive but GST remains a challenge TGI goodsandservicestax
1,2018-07-23 16:16:02, MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores
2,2018-07-23 16:15:49, GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA
3,2018-07-23 16:14:22, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi
4,2018-07-23 16:14:15, Grateful ecstatic and thankful for a government that is sensitive compassionate and responsive Thank you
5,2018-07-23 16:14:13, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi
6,2018-07-23 16:14:12, As a state that thrives on its art and culture the decision to exempt statues of Deities made from Marble and to reduce
7,2018-07-23 16:14:00, Odisha Exemption of GST on SanitaryNapkins will positively impact public health of future generations amp benefit Odisha s Kh
8,2018-07-23 16:13:52, A big thank you to ji amp ji for simplifying the GST further Traders would find the design of the n
9,2018-07-23 16:13:35, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you
10,2018-07-23 16:13:31, A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene
11,2018-07-23 16:13:22, Allowing hotels to charge GST on actual tariff is very positive This has been a demand of industry amp we r indeed grateful to
12,2018-07-23 16:12:52,JK Sir what the hell is Govt doing No interest in Ayodhya Issue No interest in Fr
13,2018-07-23 16:12:35,Declining Rupee How Risky Situation is this for MSMEs fdi SMEs GST GSTCouncil GSTCouncilMeet
14,2018-07-23 16:11:49, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi
15,2018-07-23 16:10:50, GST rates have been recommended to be brought down from 28 to 18 on the following items
16,2018-07-23 16:10:48,Good Results Money come to balance sheet rather then going as unaccounted cash Thanks to
17,2018-07-23 16:10:24, GST rates have been recommended to be brought down from 28 to 18 on the following items
18,2018-07-23 16:09:59,Council india Why can t
19,2018-07-23 16:08:07, By cutting down the GST from 12 to 5 on these important items this initiative by Central Government once again win
20,2018-07-23 16:06:56, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi
21,2018-07-23 16:06:48, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI
22,2018-07-23 16:05:08, RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI
23,2018-07-23 16:03:44, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi
24,2018-07-23 16:03:15, GST rate cut impact Synthetic textiles to be 5 7 cheaper from August via NaMo App
25,2018-07-23 16:02:27, So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu
