,time,tweets
0,2018-07-22 15:53:15,"b'@barbarindian Under #modisarkar carpets have become thinner, lighter and can be used as curtains'"
0,2018-07-22 15:54:10,b'RT @DineshPoonia_78: Pic1: #Express got half the payment.\n\nPic2: @timesofindia got full payment.\n\nPic3: #TheTelegraph got double payment.\xe2\x80\xa6'
1,2018-07-22 15:19:24,b'Since #yogiadityanath has come to power UP PWD is hiring engineers with fake degrees and guys who even failed their\xe2\x80\xa6 https://t.co/aQkUv7Z0Oe'
1,2018-07-22 15:54:09,b'RT @maulinshah9: This is our culture!\nThis is our Hindutva!\n#IamCongress #NoConfidenceMotion #BhukampAaGaya https://t.co/S1N9GRk4QL'
2,2018-07-22 14:05:38,b'@INCIndia The narrative being created is that #ModiSarkar is spreading hate.There is fear in India and there is no\xe2\x80\xa6 https://t.co/q2Zf9pLDHf'
2,2018-07-22 15:54:04,b'RT @pbhaskar0003: And the last laugh will be mine....#ModiTrustVote\nThis was the gravity of #NoConfidenceMotion that @RahulGandhi ji  displ\xe2\x80\xa6'
3,2018-07-22 13:45:26,b'1 thing is clear after #NoConfidenceMotion debate #ModiSarkar Jis raaste se aayi thi Usi raaste se Satta se Jaaygi\xe2\x80\xa6 https://t.co/rp6w9b3uqc'
3,2018-07-22 15:53:58,"b""RT @SirJadejaaaa: RT If You Can't Spot Any Difference Between The Two Pics. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#IndiaTrustModi #ModiTrustVote #RahulHugsModi #NoConfidenc\xe2\x80\xa6"""
4,2018-07-22 12:43:39,"b""RT @_FranklySpeak: This is truly people's government - #ModiSarkar. Every ethically right demand of India's #daughters and #sons has been a\xe2\x80\xa6"""
4,2018-07-22 15:53:52,"b""RT @aartic02: Seriously that's our PM \xf0\x9f\xa4\xa3\n#NoConfidenceMotion  https://t.co/4G7SklGM8K"""
5,2018-07-22 15:53:48,"b""@naralokesh @ncbn R u @ncbn 's assistant? If u hav demoted urself to that position then I think #AndhraPradesh ppl\xe2\x80\xa6 https://t.co/mN02Uca5Ds"""
5,2018-07-22 12:08:13,b'#Modi @narendramodi #ModiSarkar removes #SanitaryNapkins from  #GST  thanks 2 our #Nationalistic HERO ONE AND ONLY\xe2\x80\xa6 https://t.co/sNKqmsym03'
6,2018-07-22 11:38:04,"b'RT @PreetiSMenon: As always @BhagwantMann, in few a direct words, tears apart #ModiSarkar \n#NoConfidenceMotion https://t.co/zSdrszlyrv'"
6,2018-07-22 15:53:44,"b'RT @MahilaCongress: On the day Parliament faces a #NoConfidenceMotion, Delhi faces a Terror threat?\nPolice has complete details like names\xe2\x80\xa6'"
