,tweets,features,sentiment
0,Gujarat s economic growth impressive but GST remains a challenge TGI goodsandservicestax,"['gujarat', 'economic', 'growth', 'impressive', 'gst', 'remains', 'challenge', 'tgi', 'goodsandservicestax']",positive
1, MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores,"['mof', 'officials', 'finally', 'checkmated', 'gst', 'council', 'chaired', 'time', 'finance', 'minister', 'piyush', 'goyal', 'ignores']",positive
2, GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
3, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
4, Grateful ecstatic and thankful for a government that is sensitive compassionate and responsive Thank you,"['grateful', 'ecstatic', 'thankful', 'government', 'sensitive', 'compassionate', 'responsive', 'thank']",positive
5, The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
6, As a state that thrives on its art and culture the decision to exempt statues of Deities made from Marble and to reduce,"['thrives', 'art', 'culture', 'decision', 'exempt', 'statues', 'deities', 'marble', 'reduce']",positive
7, Odisha Exemption of GST on SanitaryNapkins will positively impact public health of future generations amp benefit Odisha s Kh,"['odisha', 'exemption', 'gst', 'sanitarynapkins', 'positively', 'impact', 'public', 'health', 'future', 'generations', 'amp', 'benefit', 'odisha', 'kh']",negative
8, A big thank you to ji amp ji for simplifying the GST further Traders would find the design of the n,"['thank', 'ji', 'amp', 'ji', 'simplifying', 'gst', 'traders', 'design']",positive
9, GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
10, A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene,"['shoutout', 'amp', 'sensitive', 'towards', 'issues', 'related', 'women', 'health', 'amp', 'hygiene']",negative
11, Allowing hotels to charge GST on actual tariff is very positive This has been a demand of industry amp we r indeed grateful to,"['allowing', 'hotels', 'charge', 'gst', 'actual', 'tariff', 'positive', 'demand', 'industry', 'amp', 'indeed', 'grateful']",positive
12,JK Sir what the hell is Govt doing No interest in Ayodhya Issue No interest in Fr,"['jk', 'sir', 'hell', 'govt', 'doing', 'ayodhya', 'issue', 'fr']",negative
