tweets,features,sentiment
Gujarat s economic growth impressive but GST remains a challenge TGI goodsandservicestax,"['gujarat', 'economic', 'growth', 'impressive', 'gst', 'remains', 'challenge', 'tgi', 'goodsandservicestax']",positive
 MoF officials finally checkmated as GST Council chaired for the first time by Finance Minister Piyush Goyal ignores,"['mof', 'officials', 'finally', 'checkmated', 'gst', 'council', 'chaired', 'time', 'finance', 'minister', 'piyush', 'goyal', 'ignores']",positive
 GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
 The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
 Grateful ecstatic and thankful for a government that is sensitive compassionate and responsive Thank you,"['grateful', 'ecstatic', 'thankful', 'government', 'sensitive', 'compassionate', 'responsive', 'thank']",positive
 The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
 As a state that thrives on its art and culture the decision to exempt statues of Deities made from Marble and to reduce,"['thrives', 'art', 'culture', 'decision', 'exempt', 'statues', 'deities', 'marble', 'reduce']",positive
 Odisha Exemption of GST on SanitaryNapkins will positively impact public health of future generations amp benefit Odisha s Kh,"['odisha', 'exemption', 'gst', 'sanitarynapkins', 'positively', 'impact', 'public', 'health', 'future', 'generations', 'amp', 'benefit', 'odisha', 'kh']",negative
 A big thank you to ji amp ji for simplifying the GST further Traders would find the design of the n,"['thank', 'ji', 'amp', 'ji', 'simplifying', 'gst', 'traders', 'design']",positive
 GST Removed on Sanitary napkins This is actual Women Empowerment at its peak indeed a good endeavour Thank you,"['gst', 'removed', 'sanitary', 'napkins', 'actual', 'women', 'empowerment', 'peak', 'indeed', 'endeavour', 'thank']",negative
 A Big Shoutout to amp for being sensitive towards issues related to women s health amp hygiene,"['shoutout', 'amp', 'sensitive', 'towards', 'issues', 'related', 'women', 'health', 'amp', 'hygiene']",negative
 Allowing hotels to charge GST on actual tariff is very positive This has been a demand of industry amp we r indeed grateful to,"['allowing', 'hotels', 'charge', 'gst', 'actual', 'tariff', 'positive', 'demand', 'industry', 'amp', 'indeed', 'grateful']",positive
JK Sir what the hell is Govt doing No interest in Ayodhya Issue No interest in Fr,"['jk', 'sir', 'hell', 'govt', 'doing', 'ayodhya', 'issue', 'fr']",negative
Declining Rupee How Risky Situation is this for MSMEs fdi SMEs GST GSTCouncil GSTCouncilMeet,"['declining', 'rupee', 'risky', 'situation', 'msmes', 'fdi', 'smes', 'gst', 'gstcouncil', 'gstcouncilmeet']",positive
 The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
 GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
Good Results Money come to balance sheet rather then going as unaccounted cash Thanks to,"['results', 'money', 'balance', 'sheet', 'unaccounted', 'cash', 'thanks']",negative
 GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
Council india Why can t,"['council', 'india']",positive
 By cutting down the GST from 12 to 5 on these important items this initiative by Central Government once again win,"['cutting', 'gst', 'items', 'initiative', 'central', 'government', 'win']",neutral
 The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
 RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
 RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
 The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
 GST rate cut impact Synthetic textiles to be 5 7 cheaper from August via NaMo App,"['gst', 'rate', 'cut', 'impact', 'synthetic', 'textiles', 'cheaper', 'august', 'via', 'namo', 'app']",neutral
 So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
 The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
 ml First you introduce mass indirect tax heavily skewed against economically deprived named GST Impose high tax on essential,"['ml', 'introduce', 'mass', 'indirect', 'tax', 'heavily', 'skewed', 'economically', 'deprived', 'named', 'gst', 'impose', 'tax', 'essential']",negative
GST rates have been recommended to be brought down from 28 to 18 on the following items,"['gst', 'rates', 'recommended', 'brought', 'following', 'items']",positive
I congratulate ji in keeping GST so open ended and feedback sensitive This is by far the best polic,"['congratulate', 'ji', 'keeping', 'gst', 'feedback', 'sensitive', 'polic']",positive
 RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
 The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled under mi,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'mi']",negative
 The GSTCouncilMeet s removal of GST on SanitaryNapkins is an eyewash by where inputtaxcredits is denied 2,"['gstcouncilmeet', 'removal', 'gst', 'sanitarynapkins', 'eyewash', 'inputtaxcredits', 'denied']",negative
 RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
The GST on SanitaryNapkins campaign had been so misinformed It s sad that the GST Council on Saturday buckled un,"['gst', 'sanitarynapkins', 'campaign', 'misinformed', 'sad', 'gst', 'council', 'saturday', 'buckled', 'un']",positive
 jantv Better late than never SanitaryNapkins finally exempted from GST step in right direction,"['jantv', 'late', 'sanitarynapkins', 'finally', 'exempted', 'gst', 'step', 'direction']",positive
 So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
 May I Request Shr Narendra Modi ji amp Piyush Goyal ji to Exempt Burnol from on GST This has become basic need for Libera,"['request', 'shr', 'narendra', 'modi', 'ji', 'amp', 'piyush', 'goyal', 'ji', 'exempt', 'burnol', 'gst', 'basic', 'libera']",negative
Good to know but parts of it sounds like VAT days only Plus I really pity the IT vendor in GST The changes will,"['sounds', 'vat', 'days', 'plus', 'pity', 'vendor', 'gst', 'changes']",negative
 Reduction in GST rates from 28 to 18 https,"['reduction', 'gst', 'rates', 'https']",negative
The government is expected to take a hit of Rs 15 000 crore after slashing GST rates on over 50 items spiking rev,"['government', 'expected', 'hit', 'rs', 'crore', 'slashing', 'gst', 'rates', 'items', 'spiking', 'rev']",negative
 The GST Council has reduced the GST rate on lithium ion batteries for ElectricVehicles from 28 per cent to 18 per cent,"['gst', 'council', 'reduced', 'gst', 'rate', 'lithium', 'ion', 'batteries', 'electricvehicles', 'cent', 'cent']",negative
 Reduction in GST rates from 28 to 18 https,"['reduction', 'gst', 'rates', 'https']",negative
 Reduction in GST rates from 28 to 18 https,"['reduction', 'gst', 'rates', 'https']",negative
 After empty boasts and endless PR even as the Govt scrambles to fix GST we are confronted with the monumental failure of,"['empty', 'boasts', 'endless', 'pr', 'govt', 'scrambles', 'fix', 'gst', 'confronted', 'monumental', 'failure']",negative
 End of Day Wrap up Monday July 23 2018 GST GSTCouncil profit PiramalCapital Samhi SBI PNB LIC IT Atos Syntel,"['day', 'wrap', 'monday', 'july', 'gst', 'gstcouncil', 'profit', 'piramalcapital', 'samhi', 'sbi', 'pnb', 'lic', 'atos', 'syntel']",negative
 So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
 RISE GST return filing has been made simpler for all taxpayers Here are the details Council GoI,"['rise', 'gst', 'return', 'filing', 'simpler', 'taxpayers', 'details', 'council', 'goi']",positive
 Consumer durables and electronics makers expect a bumper festive period as GST rate cuts set to boost affordability bu,"['consumer', 'durables', 'electronics', 'makers', 'expect', 'bumper', 'festive', 'period', 'gst', 'rate', 'cuts', 'set', 'boost', 'affordability', 'bu']",negative
 GST Council Tax Audit Report changes out of syllabus aa gaya TaxAudit 3CD LifeOfACA,"['gst', 'council', 'tax', 'audit', 'report', 'changes', 'syllabus', 'aa', 'gaya', 'taxaudit', 'lifeofaca']",negative
 When GST was implemented on 1st July 2017 there were 226 goods in 28 tax slab Today there are only 35 GSTCounc,"['gst', 'implemented', 'july', 'tax', 'slab', 'gstcounc']",negative
 So as per Modi govt s decision to did away with GST on sanitary napkins will now vanish Indian Manufactu,"['modi', 'govt', 'decision', 'gst', 'sanitary', 'napkins', 'vanish', 'indian', 'manufactu']",positive
