tweets,features,sentiment
RT @janusmyth: A lot of military hardware on display in #KeralaFloods2018 tweets. We can do without them. The government must realise that…,"['lot', 'military', 'hardware', 'display', 'keralafloods2018', 'tweets', 'government', 'realise']",positive
A lot of military hardware on display in #KeralaFloods2018 tweets. We can do without them. The government must real… https://t.co/0uq4MFm0LN,"['lot', 'military', 'hardware', 'display', 'keralafloods2018', 'tweets', 'government']",positive
RT @diptidange: @ghost22090440 @ankurshah077077 @Rppatel40 @rclcpa4 @Prakash12Joshi @Mukeshreal02 @mahendra24_ @wani_darshan @Rakesh25182 @…,[],negative
"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…","['discussions', 'noconfidencemotion', 'speech', 'gestures', 'rahulhugsmodi', 'wink', 'remains']",positive
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
RT @naralokesh: Rightly said by @JayGalla - “This is not a war between BJP and TDP” but a war between the Modi regime and the 5 crore peopl…,"['rightly', 'war', 'bjp', 'war', 'modi', 'regime', 'crore']",positive
"RT @ManishAvasthi4: Height of stupidity -
If 44 - MPs of @INCIndia &amp; 0-MPs of #BSP comes together like this 
:
44.....0
44....0
44...0
44..…","['height', 'stupidity', 'mps', 'bsp', 'comes']",negative
"RT @report_real: As soon as #RahulGandhi finished his speech, Twitterati went berserk with praises pouring from all sections applauding the…","['soon', 'rahulgandhi', 'finished', 'speech', 'twitterati', 'berserk', 'praises', 'pouring', 'sections', 'applauding']",negative
RT @mlapradipparmar: We cannot thank you enough for the entertainment! #NoConfidenceMotion https://t.co/YgBbTcnxTe,"['thank', 'noconfidencemotion']",positive
"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…","['initiating', 'noconfidencemotion', 'comprehensively', 'exposed', 'injustice', 'ap', 'behalf', 'cr', 'people', 'ap']",positive
